id,exp_id,"subject_id","stage","cond",trial_idx,task_id,"task","optionA","optionB","optionC","optionD","correct_answer","recorded_answer",recorded_accuracy,recorded_time_to_action,recorded_time_to_submit,"recorded_action_result",recorded_action_count,"timestamp"
29,12,"0BE574","pre",NULL,27,24,"e=x/8-tx",NULL,NULL,NULL,NULL,"e/(1/8-t)=x","e/((1/8)-t",0,22091,53819,NULL,NULL,"2015-02-18 10:10:39"
30,12,"0BE574","pre",NULL,28,30,"bx=-f+x*14",NULL,NULL,NULL,NULL,"x=-f/(b-14)","x=-f/(b-14",1,43499,50939,NULL,NULL,"2015-02-18 10:11:30"
31,12,"0BE574","pre",NULL,29,12,"w=12/x",NULL,NULL,NULL,NULL,"x=12/w","x=12/w",1,5093,16312,NULL,NULL,"2015-02-18 10:11:47"
32,12,"0BE574","pre",NULL,30,0,"x-k=3",NULL,NULL,NULL,NULL,"x=3+k","x=3+k",1,3777,6424,NULL,NULL,"2015-02-18 10:11:54"
33,12,"0BE574","pre",NULL,31,19,"e=c/x-10",NULL,NULL,NULL,NULL,"x=c/(e+10)","x=c/(e+10)",1,12371,20970,NULL,NULL,"2015-02-18 10:12:15"
34,12,"0BE574","main","interactive",0,3,"x=-q*2","x*-q=2","x=2-q","x/-q=2",NULL,"C","C",0,15075,16471,"x=2*-q",3,"2015-02-18 10:13:58"
35,12,"0BE574","main","interactive",1,39,"x=w-s/15","s/15-x=w","s/15+x=w","x*15=w-s",NULL,"B","C",0,134883,139273,"x=(w-s)/15",1,"2015-02-18 10:16:26"
36,12,"0BE574","main","interactive",2,12,"x=c*9+h","x/h=c*9","x+c*9=h","x-h=c*9",NULL,"C","C",1,40639,41631,"x=c*9+h",2,"2015-02-18 10:17:09"
37,12,"0BE574","main","interactive",3,60,"x(6-e)=-q","6*x-e=-q","6*x-e*x=-q","6*x-e*x=q",NULL,"B","B",1,11700,13546,"x*(6-e)=-q",2,"2015-02-18 10:17:25"
38,12,"0BE574","main","interactive",4,14,"g*t-11=x","g*t=x-11","11=x-g*t","g*t=x+11",NULL,"C","C",1,16064,18641,"g*t-11=x",1,"2015-02-18 10:17:45"
39,12,"0BE574","main","interactive",5,9,"c+f=2*x","-c=2*x-f","c=2*x-f","c=2*x+f",NULL,"B","B",1,7571,8698,"c+f=2*x",2,"2015-02-18 10:17:55"
40,12,"0BE574","main","interactive",6,54,"n+8=x(e-u)","n-8=e*x-u*x","n+8=e*x-x*u","(n+8)*x=e-u",NULL,"B","B",1,6582,7834,"n+8=x*(e-u)",1,"2015-02-18 10:18:04"
41,12,"0BE574","main","interactive",7,41,"10/a=f-x","10=a/(f-x)","10=a(f-x)","10/a-x=f",NULL,"B","B",1,11861,12744,"10/a=f-x",1,"2015-02-18 10:18:19"
42,12,"0BE574","main","interactive",8,1,"e-6=x","e=6+x","6-e=x","-6=x+e",NULL,"A","C",0,9451,13301,"-6=x+e",4,"2015-02-18 10:18:40"
43,12,"0BE574","main","interactive",9,57,"q=x(d-13)","q=x/d-x/13","q=d*x-13*x","q=d*x+13*x",NULL,"B","B",1,17649,19045,"q=x*(d-13)",2,"2015-02-18 10:19:01"
44,12,"0BE574","main","interactive",10,26,"15/t*x=r","15/t=r*x","15/t=r/x","t/15=r/x",NULL,"B","A",0,5673,8430,"15/(t*x)=r",4,"2015-02-18 10:19:18"
45,12,"0BE574","main","interactive",11,56,"16/(h-k)=x","16=x(h-k)","16=x/(16-k)","16=x(16+k)",NULL,"A","A",1,7551,10601,"16/(h-k)=x",1,"2015-02-18 10:19:30"
46,12,"0BE574","main","interactive",12,27,"x=(k*c)/-10","x*c=k/-10","x/-10=k*c","x*-10=k*c",NULL,"C","C",1,9703,10957,"x=(k*c)/-10",1,"2015-02-18 10:19:43"
47,12,"0BE574","main","interactive",13,21,"x=5/d-g","x+g=5*d","x+g=5/d","x-g=5/d",NULL,"B","B",1,11189,12203,"x=(5/d)-g",2,"2015-02-18 10:19:56"
48,12,"0BE574","main","interactive",14,46,"x=14/(1+b)","(1+b)/x=14","x-1=14/b","(1+b)x=14",NULL,"C","C",1,7943,9486,"x=14/(1+b)",2,"2015-02-18 10:20:07"
49,12,"0BE574","main","interactive",15,40,"p/a+x=13","p/a=13-x","p/a+x-13=1","p+x=13*a",NULL,"A","A",1,5560,6562,"(p/a)+x=13",2,"2015-02-18 10:20:15"
50,12,"0BE574","main","interactive",16,61,"4*x-x*e=-v","4*x=v+x*e","4*x=-v-x*e","4*x=-v+x*e",NULL,"C","C",0,14269,18016,"4*x=-v+e*x",11,"2015-02-18 10:20:42"
51,12,"0BE574","main","interactive",17,58,"p=c*x-9*x","9*x+p=c*x","9*x-p=c*x","9*x*p=c*x",NULL,"A","A",1,29061,30671,"p=c*x-9*x",1,"2015-02-18 10:21:14"
52,12,"0BE574","main","interactive",18,32,"a+15=q/x","a=q*x-15","a=q/x+15","a=q/x-15",NULL,"C","C",1,10485,11825,"a+15=q/x",2,"2015-02-18 10:21:28"
53,12,"0BE574","main","interactive",19,8,"(a+3)/k=x","a-3=x*k","a+3=x*k","a+3=k/x",NULL,"B","B",1,10746,12424,"(a+3)/k=x",1,"2015-02-18 10:21:42"
54,12,"0BE574","main","interactive",20,34,"(15-c)*x=a","15-c=a/x","15-c=a+x","15-c=a*x",NULL,"A","A",0,9544,13598,"x*(15-c)=a",3,"2015-02-18 10:22:04"
55,12,"0BE574","main","interactive",21,11,"a-8=x*p","p*(a-8)=x","a=8-x*p","a=8+x*p",NULL,"C","C",1,332687,342813,"a-8=x*p",3,"2015-02-18 10:27:48"
56,12,"0BE574","main","interactive",22,35,"e-m=7/x","e=7/x-m","e=7/x+m","x*e-m=7",NULL,"B","B",1,8193,9409,"e-m=7/x",2,"2015-02-18 10:27:59"
57,12,"0BE574","main","interactive",23,10,"(b-s)/15=x","b+s=x*15","b-s=x/15","b-s=x*15",NULL,"C","A",0,7470,9095,"(b+s)/15=x",1,"2015-02-18 10:28:17"
58,12,"0BE574","main","interactive",24,49,"(4-1)x=w","4*x-x=-w","x-4*x=w","x*4-x=w",NULL,"C","C",1,40315,67115,"(4-1)*x=w",21,"2015-02-18 10:29:26"
59,12,"0BE574","main","interactive",25,48,"x=n/(9-1)","x+1=n/9","(9-1)*x=n","(9-1)/x=n",NULL,"B","B",1,10025,10984,"x=n/(9-1)",1,"2015-02-18 10:29:38"
60,12,"0BE574","main","interactive",26,4,"8/s=x","8=x*s","8=x/s","8=s/x",NULL,"A","A",1,6376,7266,"8/s=x",2,"2015-02-18 10:29:47"
61,12,"0BE574","main","interactive",27,23,"-12=x/t","-12*x=1/t","-12/x=1/t","-12/x=t",NULL,"B","B",0,10050,11168,"-12=x*(1/t)",2,"2015-02-18 10:30:07"
62,12,"0BE574","main","interactive",28,20,"x-b=v/8","(x-b)/8=v","(x-b)*8=v","x=v/8-b",NULL,"B","B",1,7177,9181,"x-b=v/8",1,"2015-02-18 10:30:17"
63,12,"0BE574","main","interactive",29,59,"x=-p/(k-9)","x+9=-p/k","x(k-9)=-p","x*k-9=-p",NULL,"B","B",1,9633,11394,"x=-p/(k-9)",1,"2015-02-18 10:30:30"
64,12,"0BE574","main","interactive",30,50,"x=(t-n)/(r+7)","(r+7)x=t-n","(r+7)/x=t-n","(r-7)x=t-n",NULL,"A","A",1,6936,8199,"x=(t-n)/(r+7)",1,"2015-02-18 10:30:40"
65,12,"0BE574","main","interactive",31,51,"(g+h)x=10-k","g*x-h*x=10-k","g*x+h*x=10-k","g/x+h/x=10-k",NULL,"B","B",1,10625,12731,"(g+h)*x=10-k",1,"2015-02-18 10:30:54"
66,12,"0BE574","main","interactive",32,52,"u*x+5*x=r-d","u*x-d+5*x=r","u*x+d+5*x=-r","u*x+d+5*x=r",NULL,"C","C",1,16278,18542,"u*x+5*x=r-d",3,"2015-02-18 10:31:15"
67,12,"0BE574","main","interactive",33,29,"(-w/3)*x=q","-w*3=q/x","-w/3=q/x","-w*x=q/3",NULL,"B","B",1,18269,19485,"(-w/3)*x=q",3,"2015-02-18 10:31:36"
68,12,"0BE574","main","interactive",34,37,"8/q=x+h","1/q=8(x+h)","8=q(x+h)","8/q+h=x",NULL,"B","B",1,3791,5266,"8/q=x+h",1,"2015-02-18 10:31:42"
69,12,"0BE574","main","interactive",35,18,"-b=16*x","-b/x=16","x/-b=16","-b*x=16",NULL,"A","A",1,3459,5079,"-b=16*x",3,"2015-02-18 10:31:49"
70,12,"0BE574","main","interactive",36,17,"-8/q=x","1/-8=q*x","-8=x/q","-8=q*x",NULL,"C","C",1,7338,8228,"-8/q=x",1,"2015-02-18 10:31:59"
71,12,"0BE574","main","interactive",37,0,"x=t+14","x+14=t","x-14=t","14*x=t",NULL,"B","B",1,4294,5364,"x=t+14",2,"2015-02-18 10:32:06"
72,12,"0BE574","main","interactive",38,53,"(6+s)/(v-g)=x","6+s=x/(v-g)","6+s=x(v+g)","6+s=x(v-g)",NULL,"C","C",1,10975,12474,"(6+s)/(v-g)=x",2,"2015-02-18 10:32:20"
73,12,"0BE574","main","interactive",39,44,"(s+e)x=3","s*x+e*x=3","(s+e)=3*x","s/x+e/x=3",NULL,"A","A",1,12235,15254,"(s+e)*x=3",1,"2015-02-18 10:32:37"
74,12,"0BE574","main","interactive",40,63,"x+s=t-5","5-x+s=t","5+x+s=t","x-5+s=t",NULL,"B","B",1,9219,11661,"x+s=t-5",4,"2015-02-18 10:32:50"
75,12,"0BE574","main","interactive",41,28,"-k*x=8*w","-k*x*w=8","(-k*x)/w=8","x=8*w+k",NULL,"B","B",1,9553,10499,"-k*x=8*w",3,"2015-02-18 10:33:02"
76,12,"0BE574","main","interactive",42,30,"x=p/(2+e)","x*(2+e)=p","x*2+e=p","x*p=1/(2+e)",NULL,"A","A",1,6426,7339,"x=p/(2+e)",1,"2015-02-18 10:33:11"
77,12,"0BE574","main","interactive",43,2,"4*f=x","x=4/f","4=f/x","4=x/f",NULL,"C","C",1,17509,18399,"4*f=x",1,"2015-02-18 10:33:31"
78,12,"0BE574","main","interactive",44,62,"x=k-c-10","x+c=k+10","x+k=-c-10","x+10=k-c",NULL,"C","A",0,10957,12803,"x=k-c+10",2,"2015-02-18 10:33:52"
79,12,"0BE574","main","interactive",45,24,"x=(10*t)/w","10*x=w*t","x*w=10*t","x*w=10/t",NULL,"B","B",1,5838,6549,"x=(10*t)/w",1,"2015-02-18 10:34:00"
80,12,"0BE574","main","interactive",46,55,"2+u=h*x-x*r","2=h*x+u-r*x","2=h*x-u-x*r","-2=h*x-u-x*r",NULL,"B","B",1,15414,17013,"2+u=h*x-x*r",2,"2015-02-18 10:34:19"
81,12,"0BE574","main","interactive",47,33,"x=w/(v-12)","x(v-12)=w","x/(v-12)=w","x*v-12=w",NULL,"A","A",1,5103,5914,"x=w/(v-12)",1,"2015-02-18 10:34:26"
82,12,"0BE574","main","interactive",48,25,"x*g=a*6","x*g=a/6","(x*g)/6=a","x*g*6=a",NULL,"B","B",1,9591,11033,"x*g=a*6",3,"2015-02-18 10:34:39"
83,12,"0BE574","main","interactive",49,6,"(b+13)*a=x","b+13=a*x","b+13=x/a","b+13*a=x",NULL,"B","B",1,9911,12579,"(b+13)*a=x",1,"2015-02-18 10:34:53"
84,12,"0BE574","main","interactive",50,19,"x=9/w+b","x*w=9+b","-b+x=9/w","x/9=1/w+b",NULL,"B","B",1,20032,20991,"x=(9/w)+b",3,"2015-02-18 10:35:15"
85,12,"0BE574","main","interactive",51,43,"x=a/(b+7)","(b+7)x=a","x*a=1/(b+7)","x-1/7=a/b",NULL,"A","A",1,11441,12256,"x=a/(b+7)",1,"2015-02-18 10:35:29"
86,12,"0BE574","main","interactive",52,22,"-a*11=x","-a=x/11","11=x+a","-a=x*11",NULL,"A","A",1,9487,10447,"-a*11=x",1,"2015-02-18 10:35:41"
87,12,"0BE574","main","interactive",53,15,"14*b=x-a","14*b-a=x","14=(x-a)/b","14=x-a-b",NULL,"B","B",1,23477,24839,"14*b=x-a",1,"2015-02-18 10:36:07"
88,12,"0BE574","main","interactive",54,5,"x=6/-h","-h/x=6","-h*x=6","-h*x=-6",NULL,"B","B",1,11466,12997,"x=6/-h",2,"2015-02-18 10:36:22"
89,12,"0BE574","main","interactive",55,38,"12=n(x+d)","12*(x+d)=n","12/(x+d)=n","12-d=nx",NULL,"B","B",1,15325,17914,"12=n*(x+d)",3,"2015-02-18 10:36:41"
90,12,"0BE574","main","interactive",56,47,"(1+a)x=10","1+a*x=10","x+a*x=10","x+a/x=10",NULL,"B","B",1,12310,16687,"(1+a)*x=10",3,"2015-02-18 10:37:00"
91,12,"0BE574","main","interactive",57,16,"x=12/v","v*x=12","v*x=1/12","x/v=12",NULL,"A","A",1,8091,8891,"x=12/v",2,"2015-02-18 10:37:10"
92,12,"0BE574","main","interactive",58,42,"b=4(e-x)","b+x=4*e","b*4=(e-x)","b/(e-x)=4",NULL,"C","C",1,12383,14566,"b=4*(e-x)",3,"2015-02-18 10:37:26"
93,12,"0BE574","main","interactive",59,36,"m/11-h=x","h+m/11=x","m/11=x+h","m/11=x-h",NULL,"B","B",1,4609,5769,"(m/11)-h=x",2,"2015-02-18 10:37:33"
94,12,"0BE574","main","interactive",60,13,"x-s=h*16","x=h*16-s","(x-s)/16=h","(x-s)*16=h",NULL,"B","B",1,13275,14457,"x-s=h*16",3,"2015-02-18 10:37:49"
95,12,"0BE574","main","interactive",61,7,"7-u=x/b","7=(x+u)/b","7=u+x/b","7=u-x/b",NULL,"B","B",1,7585,8502,"7-u=x/b",1,"2015-02-18 10:37:59"
96,12,"0BE574","main","interactive",62,31,"(s+10)*x=e","s+10=e/x","x=(s+10)*e","s+10=e*x",NULL,"A","A",1,5064,6168,"(s+10)*x=e",1,"2015-02-18 10:38:07"
97,12,"0BE574","main","interactive",63,45,"v=(1/14-m)x","v=14/x-m*x","v=1/14-m*x","v=x/14-m*x",NULL,"C","C",1,11680,14303,"v=((1/14)-m)*x",2,"2015-02-18 10:38:23"
98,12,"0BE574","main","interactive",64,3,"x=-q*2","x*-q=2","x=2-q","x/-q=2",NULL,"C","C",1,7015,10043,"x=-q*2",2,"2015-02-18 10:38:35"
99,12,"0BE574","main","interactive",65,39,"x=w-s/15","s/15-x=w","s/15+x=w","x*15=w-s",NULL,"B","B",1,28603,31845,"x=w-(s/15)",3,"2015-02-18 10:39:08"
100,12,"0BE574","main","interactive",66,12,"x=c*9+h","x/h=c*9","x+c*9=h","x-h=c*9",NULL,"C","C",1,22461,24149,"x=c*9+h",2,"2015-02-18 10:39:34"
101,12,"0BE574","main","interactive",67,60,"x(6-e)=-q","6*x-e=-q","6*x-e*x=-q","6*x-e*x=q",NULL,"B","B",1,10858,12445,"x*(6-e)=-q",2,"2015-02-18 10:39:48"
102,12,"0BE574","main","interactive",68,14,"g*t-11=x","g*t=x-11","11=x-g*t","g*t=x+11",NULL,"C","C",1,13764,14924,"g*t-11=x",2,"2015-02-18 10:40:04"
103,12,"0BE574","main","interactive",69,9,"c+f=2*x","-c=2*x-f","c=2*x-f","c=2*x+f",NULL,"B","B",1,5117,6254,"c+f=2*x",2,"2015-02-18 10:40:12"
104,12,"0BE574","main","interactive",70,54,"n+8=x(e-u)","n-8=e*x-u*x","n+8=e*x-x*u","(n+8)*x=e-u",NULL,"B","B",1,6020,7889,"n+8=x*(e-u)",1,"2015-02-18 10:40:21"
105,12,"0BE574","main","interactive",71,41,"10/a=f-x","10=a/(f-x)","10=a(f-x)","10/a-x=f",NULL,"B","B",1,4245,4913,"10/a=f-x",1,"2015-02-18 10:40:28"
106,12,"0BE574","main","interactive",72,1,"e-6=x","e=6+x","6-e=x","-6=x+e",NULL,"A","A",1,3507,4228,"e-6=x",1,"2015-02-18 10:40:33"
107,12,"0BE574","main","interactive",73,57,"q=x(d-13)","q=x/d-x/13","q=d*x-13*x","q=d*x+13*x",NULL,"B","B",1,12569,14685,"q=x*(d-13)",2,"2015-02-18 10:40:50"
108,12,"0BE574","main","interactive",74,26,"15/t*x=r","15/t=r*x","15/t=r/x","t/15=r/x",NULL,"B","B",1,6272,7431,"(15/t)*x=r",1,"2015-02-18 10:40:59"
109,12,"0BE574","main","interactive",75,56,"16/(h-k)=x","16=x(h-k)","16=x/(16-k)","16=x(16+k)",NULL,"A","A",1,12266,14125,"16/(h-k)=x",1,"2015-02-18 10:41:16"
110,12,"0BE574","main","interactive",76,27,"x=(k*c)/-10","x*c=k/-10","x/-10=k*c","x*-10=k*c",NULL,"C","C",1,8920,10396,"x=(k*c)/-10",1,"2015-02-18 10:41:27"
111,12,"0BE574","main","interactive",77,21,"x=5/d-g","x+g=5*d","x+g=5/d","x-g=5/d",NULL,"B","B",1,6823,8281,"x=(5/d)-g",2,"2015-02-18 10:41:37"
112,12,"0BE574","main","interactive",78,46,"x=14/(1+b)","(1+b)/x=14","x-1=14/b","(1+b)x=14",NULL,"C","C",1,9048,10231,"x=14/(1+b)",2,"2015-02-18 10:41:48"
113,12,"0BE574","main","interactive",79,40,"p/a+x=13","p/a=13-x","p/a+x-13=1","p+x=13*a",NULL,"A","A",1,5694,6797,"(p/a)+x=13",2,"2015-02-18 10:41:57"
114,12,"0BE574","main","interactive",80,61,"4*x-x*e=-v","4*x=v+x*e","4*x=-v-x*e","4*x=-v+x*e",NULL,"C","A",0,6066,7236,"4*x-x*e=v",1,"2015-02-18 10:42:12"
115,12,"0BE574","main","interactive",81,58,"p=c*x-9*x","9*x+p=c*x","9*x-p=c*x","9*x*p=c*x",NULL,"A","A",0,32467,41783,"9*x+p=c*x",2,"2015-02-18 10:43:03"
116,12,"0BE574","main","interactive",82,32,"a+15=q/x","a=q*x-15","a=q/x+15","a=q/x-15",NULL,"C","C",1,8558,10067,"a+15=q/x",2,"2015-02-18 10:43:14"
117,12,"0BE574","main","interactive",83,8,"(a+3)/k=x","a-3=x*k","a+3=x*k","a+3=k/x",NULL,"B","B",1,10322,11146,"(a+3)/k=x",2,"2015-02-18 10:43:27"
118,12,"0BE574","main","interactive",84,34,"(15-c)*x=a","15-c=a/x","15-c=a+x","15-c=a*x",NULL,"A","A",1,11189,12046,"(15-c)*x=a",1,"2015-02-18 10:43:41"
119,12,"0BE574","post",NULL,0,5,"-15*x=m",NULL,NULL,NULL,NULL,"x=m/-15","x=-m/15",0,7586,16342,NULL,NULL,"2015-02-18 10:44:04"
120,12,"0BE574","post",NULL,1,7,"p=9+x/a",NULL,NULL,NULL,NULL,"(p-9)*a=x","a(p-9)=x",0,9693,14669,NULL,NULL,"2015-02-18 10:44:20"
121,12,"0BE574","post",NULL,2,1,"4=b+x",NULL,NULL,NULL,NULL,"4-b=x","4-b=x",1,3023,5377,NULL,NULL,"2015-02-18 10:44:25"
122,12,"0BE574","post",NULL,3,21,"r/(x+16)=v",NULL,NULL,NULL,NULL,"r/v-16=x","r/v-16=x",1,8715,21296,NULL,NULL,"2015-02-18 10:44:47"
123,12,"0BE574","post",NULL,4,22,"k/(8-x)=g",NULL,NULL,NULL,NULL,"x=8-k/g","x=k/g-8",0,12978,19214,NULL,NULL,"2015-02-18 10:45:07"
124,12,"0BE574","post",NULL,5,15,"t*(15+x)=w",NULL,NULL,NULL,NULL,"x=w/t-15","x=w/t-15",1,24905,29925,NULL,NULL,"2015-02-18 10:45:37"
125,12,"0BE574","post",NULL,6,27,"16x+g+vx=h",NULL,NULL,NULL,NULL,"x=(h-g)/(16+v)","x=(g-h)/(1",0,17197,32995,NULL,NULL,"2015-02-18 10:46:11"
126,12,"0BE574","post",NULL,7,28,"14=bx-r-xm",NULL,NULL,NULL,NULL,"(14+r)/(b-m)=x","(14+r)/(b-",1,6657,36327,NULL,NULL,"2015-02-18 10:46:48"
127,12,"0BE574","post",NULL,8,26,"x*10-x=d",NULL,NULL,NULL,NULL,"x=d/9","x=d/9",1,14994,17258,NULL,NULL,"2015-02-18 10:47:05"
128,12,"0BE574","post",NULL,9,18,"-r/11=p/x",NULL,NULL,NULL,NULL,"x=(p11)/-r","x=-p/11r",0,11763,22848,NULL,NULL,"2015-02-18 10:47:29"
129,12,"0BE574","post",NULL,10,17,"16/m=c/x",NULL,NULL,NULL,NULL,"x=(cm)/16","x=cm/16",0,11389,25702,NULL,NULL,"2015-02-18 10:47:55"
130,12,"0BE574","post",NULL,11,14,"(x-n)*13=p",NULL,NULL,NULL,NULL,"x=p/13+n","x=(p+13n)/",0,9142,22431,NULL,NULL,"2015-02-18 10:48:18"
131,12,"0BE574","post",NULL,12,13,"-10/x=e",NULL,NULL,NULL,NULL,"-10/e=x","-10/e=x",1,7916,10811,NULL,NULL,"2015-02-18 10:48:29"
132,12,"0BE574","post",NULL,13,9,"8=r+x*e",NULL,NULL,NULL,NULL,"(8-r)/e=x","(8-r)/e=x",1,7421,20959,NULL,NULL,"2015-02-18 10:48:51"
133,12,"0BE574","post",NULL,14,11,"8=(b+x)/n",NULL,NULL,NULL,NULL,"8n-b=x","8n-b=x",1,20774,26458,NULL,NULL,"2015-02-18 10:49:18"
134,12,"0BE574","post",NULL,15,8,"b=t*x-11",NULL,NULL,NULL,NULL,"(b+11)/t=x","(b+11)/t=x",1,37965,47013,NULL,NULL,"2015-02-18 10:50:05"
135,12,"0BE574","post",NULL,16,29,"rx+h=7x",NULL,NULL,NULL,NULL,"h/(7-r)=x","h/(7-r)=x",1,19976,26535,NULL,NULL,"2015-02-18 10:50:32"
136,12,"0BE574","post",NULL,17,16,"-14/x=1/q",NULL,NULL,NULL,NULL,"-14q=x","-14q=x",1,7223,9000,NULL,NULL,"2015-02-18 10:50:42"
137,12,"0BE574","post",NULL,18,10,"(x-d)/s=6",NULL,NULL,NULL,NULL,"x=s6+d","x=6s+d",0,3408,9213,NULL,NULL,"2015-02-18 10:50:51"
138,12,"0BE574","post",NULL,19,2,"m=x/13",NULL,NULL,NULL,NULL,"m13=x","13m=x",0,2217,3488,NULL,NULL,"2015-02-18 10:50:55"
139,12,"0BE574","post",NULL,20,23,"hx+nx=13",NULL,NULL,NULL,NULL,"x=13/(h+n)","x=13/(h+n)",1,5468,9270,NULL,NULL,"2015-02-18 10:51:05"
140,12,"0BE574","post",NULL,21,4,"14=x*c",NULL,NULL,NULL,NULL,"14/c=x","14/c=x",1,3578,5299,NULL,NULL,"2015-02-18 10:51:11"
141,12,"0BE574","post",NULL,22,25,"x+dx=8",NULL,NULL,NULL,NULL,"x=8/(1+d)","x=8/(1+d)",1,14705,25043,NULL,NULL,"2015-02-18 10:51:37"
