target,correctBase,badBase1,badBase2,badBase3
x=b/(a-1),(a-1)x=b,(a+1)x=b,(a-1)/x=b,(a-1)x=-b
(a-1)x=b,x*a-x=b,x*a+x=b,x/a-x=b,x*a-x=-b
x=(d-b)/(a+c),(a+c)x=d-b,(a-c)x=d-b,(a+c)/x=d-b,(a+c)x=d+b
(a+c)x=d-b,a*x+c*x=d-b,a*x-c*x=d-b,a*x+c*x=d+b,a/x+c/x=d-b
a*x+c*x=d-b,a*x+b+c*x=d,a*x-b+c*x=d,a*x+b-c*x=d,a*x+b+c*x=-d
(d+b)/(a-c)=x,d+b=x(a-c),d-b=x(a-c),d+b=x/(a-c),d+b=x(a+c)
d+b=x(a-c),d+b=a*x-x*c,d-b=a*x-c*x,d+b=a*x+c*x,d+b=a/x-c/x
d+b=a*x-x*c,d=a*x-b-x*c,-d=a*x-b-x*c,d=a*x+b-c*x,d=a*x-b+c*x
c/(a-b)=x,c=x(a-b),-c=x(a-b),c=x/(c-b),c=x(c+b)
c=x(a-b),c=a*x-b*x,-c=a*x-b*x,c=a*x+b*x,c=x/a-x/b
c=a*x-b*x,b*x+c=a*x,b*x-c=a*x,b*x*c=a*x,b/x-c=a*x
x=-c/(a-b),x(a-b)=-c,x/(a-b)=-c,x(a+b)=-c,x(a-b)=c
x(a-b)=-c,a*x-b*x=-c,a*x+b*x=-c,x/a-x/b=-c,a*x-b*x=c
a*x-x*b=-c,a*x=-c+x*b,a*x=c+x*b,a*x=-c-x*b,a*x=-c+x/b
x=c-a-b,x+b=c-a,x-b=c-a,x+b=c+a,x-b=c-a
x+b=c-a,a+x+b=c,a-x+b=c,a+x-b=c,-a+x+b=-c
